,IPPort,Last Checked,Epoch
136,188.133.152.139:1256,15 hours ago,1630366308
137,104.248.150.190:3128,14 hours ago,1630369908
138,186.28.229.210:999,15 hours ago,1630366308
139,182.48.255.4:80,16 hours ago,1630362708
140,31.199.12.150:80,15 hours ago,1630366308
141,201.182.250.36:18080,12 hours ago,1630377108
142,54.232.28.131:80,15 hours ago,1630366308
143,139.99.73.249:8080,12 hours ago,1630377108
144,190.113.40.205:999,8 hours ago,1630391508
145,47.252.31.217:1088,14 hours ago,1630369908
146,95.0.206.19:8080,10 hours ago,1630384308
148,45.70.201.179:999,14 hours ago,1630369908
149,203.81.87.186:10443,12 hours ago,1630377108
150,190.107.22.255:999,8 hours ago,1630391508
151,185.107.132.50:8080,16 hours ago,1630362708
152,177.129.240.134:55443,13 hours ago,1630373508
153,115.124.115.26:80,15 hours ago,1630366308
154,115.124.85.170:8080,12 hours ago,1630377108
155,36.92.196.141:8080,14 hours ago,1630369908
156,181.78.12.46:8080,13 hours ago,1630373508
157,202.5.122.35:8181,14 hours ago,1630369908
158,103.98.131.194:8081,16 hours ago,1630362708
159,176.214.98.246:8080,15 hours ago,1630366308
160,116.203.144.41:3128,16 hours ago,1630362708
161,190.7.142.106:999,10 hours ago,1630384308
162,51.79.101.5:3128,9 hours ago,1630387908
163,144.91.85.172:3128,14 hours ago,1630369908
164,103.35.134.30:83,9 hours ago,1630387908
165,103.58.117.235:80,13 hours ago,1630373508
166,195.4.185.229:8080,16 hours ago,1630362708
168,190.11.192.118:999,12 hours ago,1630377108
169,183.88.3.203:8080,13 hours ago,1630373508
170,103.61.68.41:83,10 hours ago,1630384308
171,85.125.135.195:8080,10 hours ago,1630384308
172,178.250.94.38:55443,13 hours ago,1630373508
173,161.117.176.79:6666,9 hours ago,1630387908
174,190.92.67.246:999,10 hours ago,1630384308
175,131.72.68.254:45005,16 hours ago,1630362708
176,187.190.115.139:9991,16 hours ago,1630362708
177,177.104.125.173:55443,8 hours ago,1630391508
178,34.211.63.49:80,13 hours ago,1630373508
179,181.13.14.8:8081,16 hours ago,1630362708
180,40.84.24.155:80,9 hours ago,1630387908
181,173.0.255.16:45554,7 hours ago,1630395108
182,199.19.95.247:1080,8 hours ago,1630391508
183,199.19.95.130:1080,9 hours ago,1630387908
185,216.39.173.51:9001,6 hours ago,1630398708
186,91.121.42.68:80,6 hours ago,1630398708
187,66.253.164.20:45554,8 hours ago,1630391508
188,69.36.65.214:1080,10 hours ago,1630384308
189,172.87.9.218:45554,8 hours ago,1630391508
190,173.0.254.238:45554,7 hours ago,1630395108
191,174.141.207.88:45554,8 hours ago,1630391508
192,162.219.230.119:45554,8 hours ago,1630391508
193,216.8.217.243:45554,9 hours ago,1630387909
195,216.171.17.119:45554,10 hours ago,1630384309
196,104.145.70.226:45554,10 hours ago,1630384309
197,54.202.219.193:80,10 hours ago,1630384309
198,207.177.47.42:45554,11 hours ago,1630380709
199,76.191.26.232:45554,8 hours ago,1630391509
200,216.171.16.123:45554,8 hours ago,1630391509
201,76.10.41.124:45554,9 hours ago,1630387909
202,75.103.143.93:45554,8 hours ago,1630391509
203,68.39.112.128:13479,6 hours ago,1630398709
204,173.245.150.34:45554,7 hours ago,1630395109
205,76.191.26.65:45554,7 hours ago,1630395109
206,76.10.43.164:45554,7 hours ago,1630395109
207,104.145.103.38:45554,10 hours ago,1630384309
208,24.219.71.59:45554,8 hours ago,1630391509
209,68.180.3.212:45554,6 hours ago,1630398709
210,178.213.145.24:8080,9 hours ago,1630387909
211,12.35.68.239:45554,10 hours ago,1630384309
212,161.97.127.234:3000,12 hours ago,1630377109
213,95.217.168.246:8888,16 hours ago,1630362709
214,31.199.12.150:80,15 hours ago,1630366309
215,181.129.161.43:999,10 hours ago,1630384309
217,181.129.248.123:999,15 hours ago,1630366309
218,188.166.162.1:3128,9 hours ago,1630387909
219,179.1.82.18:999,16 hours ago,1630362709
220,94.23.166.104:3128,16 hours ago,1630362709
221,186.28.229.210:999,15 hours ago,1630366309
222,51.75.35.222:3128,8 hours ago,1630391509
223,96.95.164.41:3128,14 hours ago,1630369909
